year,measure_name,outcome,full_text
2016,2016 Massachusetts Question 3,,2016 Massachusetts Question 3
2016,2016 Massachusetts Question 4,,2016 Massachusetts Question 4
2016,2016 Montana Initiative 182,,2016 Montana Initiative 182
2016,2016 Oklahoma State Question 777,,2016 Oklahoma State Question 777
2016,2016 Oregon Ballot Measure 97,,2016 Oregon Ballot Measure 97
2016,2016 Oregon Ballot Measure 100,,2016 Oregon Ballot Measure 100
2016,2016 Washington Initiative 732,,2016 Washington Initiative 732
2016,2016 Los Angeles County Measure M,,2016 Los Angeles County Measure M
2016,2016 ballot measures in the United States,,2016 ballot measures in the United States
2014,2014 Alaska Measure 2 [ 1 ],,2014 Alaska Measure 2 [ 1 ]
2014,2014 California Proposition 1 [ 2 ],,2014 California Proposition 1 [ 2 ]
2014,2014 California Proposition 2,,2014 California Proposition 2
2014,2014 California Proposition 41,,2014 California Proposition 41
2014,2014 California Proposition 42,,2014 California Proposition 42
2014,2014 California Proposition 45,,2014 California Proposition 45
2014,2014 California Proposition 46,,2014 California Proposition 46
2014,2014 California Proposition 47,,2014 California Proposition 47
2014,2014 California Proposition 48,,2014 California Proposition 48
2014,Illinois Transportation Taxes and Fees Lockbox Amendment,,Illinois Transportation Taxes and Fees Lockbox Amendment
2014,Illinois Right to Vote Amendment [ 4 ],,Illinois Right to Vote Amendment [ 4 ]
2014,2014 Maine Question 1 [ 5 ],,2014 Maine Question 1 [ 5 ]
2014,2014 Massachusetts Question 1,,2014 Massachusetts Question 1
2014,2014 Massachusetts Question 2,,2014 Massachusetts Question 2
2014,2014 Massachusetts Question 3,,2014 Massachusetts Question 3
2014,2014 Massachusetts Question 4,,2014 Massachusetts Question 4
2014,2014 Oregon Ballot Measure 88,,2014 Oregon Ballot Measure 88
2014,2014 Oregon Ballot Measure 89,,2014 Oregon Ballot Measure 89
2014,2014 Oregon Ballot Measure 90,,2014 Oregon Ballot Measure 90
2014,2014 Oregon Ballot Measure 91,,2014 Oregon Ballot Measure 91
2014,2014 Oregon Ballot Measure 92,,2014 Oregon Ballot Measure 92
2014,2014 Virginia ballot measures [ 6 ] [ 7 ],,2014 Virginia ballot measures [ 6 ] [ 7 ]
2014,2014 ballot measures in the United States,,2014 ballot measures in the United States
2012,"2012 Arkansas Issue 1 , an amendment that would implement a half-cent sales tax",Passed,"2012 Arkansas Issue 1 , an amendment that would implement a half-cent sales tax. This measure passed. [ 1 ]"
2012,"2012 Arizona Proposition 121 , a citizen-initiated constitutional amendment that would create a top-two primary system",Failed,"2012 Arizona Proposition 121 , a citizen-initiated constitutional amendment that would create a top-two primary system. This measure failed. [ 2 ]"
2012,2012 California Proposition 28,,2012 California Proposition 28
2012,2012 California Proposition 29,,2012 California Proposition 29
2012,2012 California Proposition 30,,2012 California Proposition 30
2012,2012 California Proposition 31,,2012 California Proposition 31
2012,2012 California Proposition 32,,2012 California Proposition 32
2012,2012 California Proposition 34,,2012 California Proposition 34
2012,2012 California Proposition 36,,2012 California Proposition 36
2012,2012 California Proposition 37,,2012 California Proposition 37
2012,2012 California Proposition 38,,2012 California Proposition 38
2012,2012 California Proposition 39,,2012 California Proposition 39
2012,2012 Colorado Amendment 64,,2012 Colorado Amendment 64
2012,Illinois Public Pension Amendment,,Illinois Public Pension Amendment
2012,2012 Kentucky Amendment 1,,2012 Kentucky Amendment 1
2012,"2012 Maine Question 1 , An indirect initiated state statute that would legalize same-sex marriage in Maine",Passed,"2012 Maine Question 1 , An indirect initiated state statute that would legalize same-sex marriage in Maine. It would allow the state government to be able to issue marriage-licenses to same-sex couple"
2012,2012 Maryland Question 6,,2012 Maryland Question 6
2012,2012 Massachusetts Question 1,,2012 Massachusetts Question 1
2012,2012 Massachusetts Question 2,,2012 Massachusetts Question 2
2012,2012 Massachusetts Question 3,,2012 Massachusetts Question 3
2012,"2012 Minnesota Amendment 1 , a legislatively-referred constitutional amendment that would prohibit s",Failed,"2012 Minnesota Amendment 1 , a legislatively-referred constitutional amendment that would prohibit same-sex marriage in Minnesota by defining a marriage as being ""Solely Between One Man and One Woman"""
2012,"2012 Nebraska Amendment 4 , Legislatively-referred constitutional amendment that would raise salaries of state legislators to $22,500 per year",Failed,"2012 Nebraska Amendment 4 , Legislatively-referred constitutional amendment that would raise salaries of state legislators to $22,500 per year. This amendment failed. [ 5 ]"
2012,2012 Oregon Ballot Measure 80,,2012 Oregon Ballot Measure 80
2012,"2012 Utah Amendment B , a legislatively-referred constitutional amendment that would exempt those serving in the military from having to pay property taxes",Passed,"2012 Utah Amendment B , a legislatively-referred constitutional amendment that would exempt those serving in the military from having to pay property taxes. This amendment passed. [ 6 ]"
2012,2016 Washington Initiative 732,,2016 Washington Initiative 732
2012,2012 Wyoming Constitutional Amendment A,,2012 Wyoming Constitutional Amendment A
2012,2012 Los Angeles Measure B,,2012 Los Angeles Measure B
2012,"Measure J (Los Angeles, California)",,"Measure J (Los Angeles, California)"
2012,2012 ballot measures in the United States,,2012 ballot measures in the United States
2010,2010 Arizona Proposition 100,,2010 Arizona Proposition 100
2010,2010 Arizona Proposition 203,,2010 Arizona Proposition 203
2010,2010 California Proposition 14,,2010 California Proposition 14
2010,2010 California Proposition 16,,2010 California Proposition 16
2010,2010 California Proposition 19,,2010 California Proposition 19
2010,2010 California Proposition 20,,2010 California Proposition 20
2010,2010 California Proposition 23,,2010 California Proposition 23
2010,2010 California Proposition 27,,2010 California Proposition 27
2010,2010 Colorado Amendment 62,,2010 Colorado Amendment 62
2010,Illinois Governor Recall Amendment,,Illinois Governor Recall Amendment
2010,2010 Massachusetts Question 2,,2010 Massachusetts Question 2
2010,2010 Massachusetts Question 1,,2010 Massachusetts Question 1
2010,2010 Oklahoma State Question 755,,2010 Oklahoma State Question 755
2010,2010 Oregon Ballot Measures 66 and 67,,2010 Oregon Ballot Measures 66 and 67
2010,2010 ballot measures in the United States,,2010 ballot measures in the United States
2008,Alaska Clean Water Initiative,,Alaska Clean Water Initiative
2008,2008 Arizona Proposition 102,,2008 Arizona Proposition 102
2008,2008 California Proposition 1A,,2008 California Proposition 1A
2008,2008 California Proposition 2,,2008 California Proposition 2
