year,state,measure,topic,yes_pct,no_pct,outcome
2024,Massachusetts,Citizens,Approved,Question 1,"Explicitly authorize the state auditor to audit the accounts, programs, activities, and functions of",Approved
2024,Citizens,Approved,Question 2,Repeal the requirement that students must achieve a certain competency level on the Massachusetts Co,Nov 5,Approved
2024,Citizens,Approved,Question 3,"Provide for unionizing and collective bargaining for transportation network drivers, require the sta",Nov 5,Approved
2024,Citizens,Failed,Question 4,"Allow persons 21 years of age or older to grow, possess, and use natural psychedelic substances , as",Nov 5,Failed
2024,Citizens,Failed,Question 5,Gradually increase the wage of tipped employees until it meets the state minimum wage in 2029 and co,Nov 5,Failed
2024,Minnesota,Legislature,Approved,Minnesota Amendment 1,Extend the dedication of revenue from the state-operated lottery to the Environment and Natural Reso,Approved
2024,Missouri,Citizens,Approved,Amendment 2,Legalize and regulating sports wagering in Missouri.,Approved
2024,Citizens,Approved,Amendment 3,Enshrines abortion until fetal viability,Nov 5,Approved
2024,Citizens,Failed,Amendment 5,Allow the Missouri Gaming Commission to issue one additional gambling boat license to operate on the,Nov 5,Failed
2024,Legislature,Failed,Amendment 6,Amend the Missouri Constitution to define the administration of justice to include the levying of co,Nov 5,Failed
2024,Legislature,Approved,Amendment 7,"Prohibits state and local governments from allowing non-citizens to vote, and ban ranked-choice voti",Nov 5,Approved
2024,Legislature,Approved,Proposition A,"Establish a $13.75 per hour minimum wage by 2025, which would be increased by $1.25 per hour each ye",Nov 5,Approved
2024,Montana,Citizens,Failed,CI-126,Establish top-four primaries for federal and state offices in Montana,Failed
2024,Citizens,Failed,CI-127,"Require an electoral system in which candidates for certain offices must win a majority of the vote,",Nov 5,Failed
2024,Citizens,Approved,CI-128,Enshrines abortion until fetal viability or to protect health of the mother,Nov 5,Approved
2024,Nebraska,Citizens,Approved,Initiative 434,Prohibits abortion after the first trimester,Approved
2024,Citizens,Approved,Initiative 436,Require Nebraska businesses to offer earned paid sick leave for employees—up to seven days for busin,Nov 5,Approved
2024,Citizens,Approved,Initiative 437,Establish the Nebraska Medical Cannabis Commission to regulate the state's medical marijuana program,Nov 5,Approved
2024,Citizens,Approved,Initiative 438,Legalize the medical use of marijuana in the state,Nov 5,Approved
2024,Citizens,Failed,Initiative 439,Enshrines abortion until fetal viability,Nov 5,Failed
2024,Citizens,Failed,Referendum 435,"Uphold Legislative Bill 1402, which authorizes the state treasurer to administer an education schola",Nov 5,Failed
2024,Nevada,Legislature,Failed,Question 1,"Remove the constitutional status of the Board of Regents—which governs, controls, and manages the st",Failed
2024,Legislature,Approved,Question 2,Revise language in the state constitution related to public entities that benefit individuals with m,Nov 5,Approved
2024,Citizens,Failed,Question 3,Establish top-five primaries and ranked-choice voting for federal and state offices in Nevada,Nov 5,Failed
2024,Citizens,Approved,Question 4,Remove Language in the Nevada State Constitution permitting the use of slavery and involuntary servi,Nov 5,Approved
2024,Legislature,Approved,Question 5,Amend the Sales and Use Tax of 1955 to provide a sales tax exemption for child and adult diapers .,Nov 5,Approved
2024,Citizens,Approved,Question 6,Enshrines abortion until fetal viability or to protect health of the mother,Nov 5,Approved
2024,Citizens,Approved,Question 7,Amend the constitution to require that Nevada residents present a form of photo identification to ve,Nov 5,Approved
2024,New Hampshire,Legislature,Failed,New Hampshire Increase Mandatory Retirement Age for Judges Amendment,Increase the mandatory judicial retirement age from 70 to 75.,Failed
2024,New Mexico,Bond Issue,Approved,Bond Question 1,"Authorize the state to issue $30,758,100 in bonds to fund senior citizens' facilities.",Approved
2024,Bond Issue,Approved,Bond Question 2,"Authorize the state to issue $19,305,000 in bonds to fund public libraries .",Nov 5,Approved
2024,Bond Issue,Approved,Bond Question 3,Authorize the state to issue $230.26 million in bonds to fund capital improvements and acquisitions ,Nov 5,Approved
2024,Bond Issue,Approved,Bond Question 4,"Authorize the state to issue $10,297,100 in bonds to modernize public safety radio communications sy",Nov 5,Approved
2024,Legislature,Approved,Amendment 1,Amend the state constitution to extend the disabled veteran property tax exemption to all disabled v,Nov 5,Approved
2024,Legislature,Approved,Amendment 2,"Amend the state constitution to increase the property tax exemption for veterans from $4,000 to $10,",Nov 5,Approved
2024,Legislature,Approved,Amendment 3,Authorize a designee of the dean of the University of New Mexico Law School to serve as chair of the,Nov 5,Approved
2024,Legislature,Approved,Amendment 4,Amend the state constitution to authorize the board of county commissioners to set salaries for coun,Nov 5,Approved
2024,New York,Legislature,Approved,Proposal 1,"Prohibit a person's rights from being denied based on the person's reproductive choices, among other",Approved
2024,North Carolina,Legislature,Approved,Citizenship Requirement for Voting Amendment,Prohibit the state and local governments from allowing noncitizens to vote,Approved
2024,North Dakota,Legislature,Approved,Measure 1,Amend language used in the state constitution to describe certain state institutions such as changin,Approved
